epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.5899,3.04558,2.79228,1.32559,0.42547,0.46472,0.35953,0.18976,1.79413,2.15609,1.05952,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052
2,56.9999,1.50535,0.88337,0.90602,0.66054,0.80215,0.70243,0.43587,1.23369,2.42831,0.80421,0.00313503,0.00104501,0.00313503,0.00104501,0.00313503,0.00104501,0.00313503,0.00104501
3,84.9984,1.20071,0.60692,0.81375,0.62817,0.92792,0.65867,0.38389,1.35174,2.77016,0.76743,0.00466423,0.00155474,0.00466423,0.00155474,0.00466423,0.00155474,0.00466423,0.00155474
4,112.662,1.01903,0.51288,0.79099,0.62194,0.93843,0.64148,0.33076,1.49816,2.83221,0.76476,0.00574543,0.00191514,0.00574543,0.00191514,0.00574543,0.00191514,0.00574543,0.00191514
5,140.574,0.91197,0.46376,0.7831,0.62268,0.97459,0.69403,0.493,1.01019,2.65456,0.75703,0.00566057,0.00188686,0.00566057,0.00188686,0.00566057,0.00188686,0.00566057,0.00188686
6,168.523,0.8345,0.43208,0.77694,0.62423,0.97694,0.70992,0.60534,0.62424,2.27252,0.74946,0.00557571,0.00185857,0.00557571,0.00185857,0.00557571,0.00185857,0.00557571,0.00185857
7,196.253,0.79333,0.4159,0.76961,0.62824,0.97246,0.72856,0.58094,0.81643,2.46792,0.75029,0.00549086,0.00183029,0.00549086,0.00183029,0.00549086,0.00183029,0.00549086,0.00183029
8,224.405,0.76554,0.39713,0.76935,0.64067,0.94162,0.75747,0.67333,0.51156,2.23508,0.74512,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
9,252.959,0.74514,0.39016,0.76736,0.62483,0.97689,0.74492,0.63927,0.62102,2.4289,0.74465,0.00532114,0.00177371,0.00532114,0.00177371,0.00532114,0.00177371,0.00532114,0.00177371
10,280.963,0.71026,0.37198,0.76434,0.62635,0.97624,0.75141,0.64114,0.62443,2.32247,0.74614,0.00523629,0.00174543,0.00523629,0.00174543,0.00523629,0.00174543,0.00523629,0.00174543
11,308.999,0.68738,0.3648,0.7667,0.63694,0.95371,0.77424,0.69386,0.49001,2.43069,0.73991,0.00515143,0.00171714,0.00515143,0.00171714,0.00515143,0.00171714,0.00515143,0.00171714
12,336.961,0.66695,0.3585,0.76245,0.63643,0.96227,0.73762,0.62417,0.64248,2.45956,0.73971,0.00506657,0.00168886,0.00506657,0.00168886,0.00506657,0.00168886,0.00506657,0.00168886
13,364.875,0.64178,0.35117,0.76205,0.62422,0.97694,0.76531,0.70338,0.47525,2.44857,0.73858,0.00498171,0.00166057,0.00498171,0.00166057,0.00498171,0.00166057,0.00498171,0.00166057
14,393.045,0.64141,0.34368,0.76108,0.62695,0.97677,0.73047,0.6461,0.53975,2.44846,0.73927,0.00489686,0.00163229,0.00489686,0.00163229,0.00489686,0.00163229,0.00489686,0.00163229
15,420.881,0.6187,0.33333,0.76228,0.62408,0.98114,0.80074,0.7194,0.51799,2.39243,0.73905,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
16,449.395,0.61421,0.33196,0.76047,0.63584,0.93345,0.79714,0.71613,0.49085,2.48311,0.73829,0.00472714,0.00157571,0.00472714,0.00157571,0.00472714,0.00157571,0.00472714,0.00157571
17,477.304,0.60179,0.32864,0.75758,0.63341,0.9559,0.75517,0.70486,0.42795,2.42097,0.73752,0.00464229,0.00154743,0.00464229,0.00154743,0.00464229,0.00154743,0.00464229,0.00154743
18,505.239,0.57806,0.31802,0.7599,0.63702,0.95426,0.77325,0.71064,0.43008,2.47687,0.73878,0.00455743,0.00151914,0.00455743,0.00151914,0.00455743,0.00151914,0.00455743,0.00151914
19,532.967,0.57348,0.3183,0.7589,0.63694,0.94585,0.7949,0.73099,0.43348,2.46352,0.74004,0.00447257,0.00149086,0.00447257,0.00149086,0.00447257,0.00149086,0.00447257,0.00149086
20,560.766,0.56442,0.31282,0.75704,0.63887,0.95607,0.79571,0.74092,0.38294,2.41964,0.73731,0.00438771,0.00146257,0.00438771,0.00146257,0.00438771,0.00146257,0.00438771,0.00146257
21,588.598,0.55619,0.31198,0.75739,0.63602,0.96314,0.78025,0.71723,0.43531,2.43622,0.7359,0.00430286,0.00143429,0.00430286,0.00143429,0.00430286,0.00143429,0.00430286,0.00143429
22,616.476,0.5518,0.30904,0.75708,0.64023,0.94574,0.81446,0.72925,0.49152,2.5773,0.73608,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
23,644.748,0.54004,0.303,0.75668,0.63726,0.94611,0.77989,0.73593,0.39288,2.45718,0.73758,0.00413314,0.00137771,0.00413314,0.00137771,0.00413314,0.00137771,0.00413314,0.00137771
24,672.75,0.5179,0.29622,0.75787,0.62534,0.97642,0.79204,0.74908,0.3683,2.44672,0.73492,0.00404829,0.00134943,0.00404829,0.00134943,0.00404829,0.00134943,0.00404829,0.00134943
25,700.678,0.52825,0.29736,0.75613,0.63489,0.94891,0.79337,0.73045,0.42972,2.53046,0.73209,0.00396343,0.00132114,0.00396343,0.00132114,0.00396343,0.00132114,0.00396343,0.00132114
26,728.533,0.51644,0.2949,0.75375,0.63973,0.95965,0.81059,0.77113,0.33971,2.44763,0.73459,0.00387857,0.00129286,0.00387857,0.00129286,0.00387857,0.00129286,0.00387857,0.00129286
27,756.69,0.51173,0.29106,0.75402,0.63794,0.95424,0.78992,0.72454,0.4165,2.55396,0.73623,0.00379371,0.00126457,0.00379371,0.00126457,0.00379371,0.00126457,0.00379371,0.00126457
28,784.834,0.50096,0.2864,0.75522,0.63956,0.96245,0.81513,0.77705,0.32306,2.51724,0.73493,0.00370886,0.00123629,0.00370886,0.00123629,0.00370886,0.00123629,0.00370886,0.00123629
