epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9815,2.75203,2.28004,1.27777,0.31698,0.32116,0.26229,0.09625,2.81722,1.98571,1.35739,0.00028,0.00028,0.07228
2,107.126,1.82226,1.10337,0.98464,0.56673,0.48776,0.48448,0.15835,2.77215,1.50929,1.15464,0.000558714,0.000558714,0.0435587
3,144.872,1.70104,0.94073,0.95393,0.67738,0.59441,0.6156,0.33673,1.73217,1.17201,0.96526,0.000825944,0.000825944,0.0148259
4,180.852,1.56685,0.86662,0.92883,0.79801,0.63573,0.69368,0.40188,1.55737,0.88449,0.9163,0.0009406,0.0009406,0.0009406
5,216.516,1.5041,0.80787,0.91382,0.81482,0.66116,0.71705,0.40639,1.59254,0.90489,0.90444,0.0009208,0.0009208,0.0009208
6,253.245,1.4242,0.76094,0.90483,0.76469,0.62867,0.65709,0.30455,1.90162,1.03128,0.9388,0.000901,0.000901,0.000901
7,289.341,1.38051,0.74468,0.89558,0.83155,0.67678,0.71984,0.4347,1.4542,0.7949,0.89764,0.0008812,0.0008812,0.0008812
8,326.389,1.34029,0.70825,0.88706,0.8662,0.6993,0.75123,0.50675,1.26373,0.71098,0.87021,0.0008614,0.0008614,0.0008614
9,363.482,1.28193,0.70451,0.88521,0.8722,0.69383,0.75,0.50909,1.24115,0.70148,0.86883,0.0008416,0.0008416,0.0008416
10,401.249,1.27283,0.68824,0.88353,0.87239,0.70059,0.76577,0.53577,1.21019,0.68811,0.86442,0.0008218,0.0008218,0.0008218
11,437.366,1.22188,0.66324,0.87389,0.89203,0.7128,0.79343,0.49972,1.47202,0.69825,0.87597,0.000802,0.000802,0.000802
12,474.501,1.19061,0.6543,0.87524,0.89725,0.71705,0.78624,0.56025,1.16703,0.63608,0.85805,0.0007822,0.0007822,0.0007822
13,511.123,1.22586,0.64906,0.87217,0.88712,0.70908,0.77827,0.5518,1.11601,0.64782,0.85159,0.0007624,0.0007624,0.0007624
14,547.815,1.18316,0.64235,0.87271,0.8924,0.71208,0.78225,0.56543,1.11785,0.6334,0.85008,0.0007426,0.0007426,0.0007426
15,584.12,1.12562,0.61681,0.85949,0.9006,0.71726,0.79203,0.58288,1.11868,0.62343,0.85009,0.0007228,0.0007228,0.0007228
16,620.099,1.11438,0.60848,0.86156,0.90582,0.72037,0.79877,0.60154,1.05164,0.61274,0.84416,0.000703,0.000703,0.000703
17,656.85,1.11771,0.60844,0.8589,0.89573,0.71668,0.78877,0.57,1.16526,0.62373,0.85097,0.0006832,0.0006832,0.0006832
18,693.778,1.08934,0.59179,0.85612,0.89478,0.71488,0.79083,0.55179,1.17861,0.62234,0.85232,0.0006634,0.0006634,0.0006634
19,731.377,1.09453,0.5873,0.85433,0.90645,0.721,0.80018,0.61407,0.97762,0.56846,0.83705,0.0006436,0.0006436,0.0006436
20,767.017,1.10415,0.59252,0.85754,0.90413,0.71921,0.79289,0.58259,1.06222,0.58783,0.84527,0.0006238,0.0006238,0.0006238
21,803.068,1.06905,0.57897,0.85361,0.90269,0.71665,0.80078,0.59375,0.99777,0.57799,0.84012,0.000604,0.000604,0.000604
22,840.906,1.07738,0.58133,0.85464,0.90967,0.72069,0.80397,0.59918,1.07182,0.58535,0.83733,0.0005842,0.0005842,0.0005842
23,877.347,1.04593,0.56392,0.84891,0.90624,0.71968,0.78007,0.51748,1.29023,0.65205,0.85916,0.0005644,0.0005644,0.0005644
24,913.771,1.07453,0.5706,0.85208,0.91098,0.72468,0.80488,0.60792,1.03464,0.56889,0.83616,0.0005446,0.0005446,0.0005446
25,949.79,1.03193,0.55591,0.84802,0.91004,0.72599,0.81686,0.63639,0.95854,0.53915,0.83409,0.0005248,0.0005248,0.0005248
26,987.294,1.02661,0.55646,0.84769,0.90506,0.72692,0.81429,0.60522,1.06609,0.5598,0.83425,0.000505,0.000505,0.000505
27,1025.32,0.98506,0.54192,0.84396,0.90563,0.72749,0.81888,0.63718,0.93775,0.52948,0.83081,0.0004852,0.0004852,0.0004852
28,1062.69,1.03937,0.55696,0.85037,0.90493,0.72481,0.81287,0.59858,1.07795,0.57506,0.83684,0.0004654,0.0004654,0.0004654
29,1099.25,1.04313,0.5574,0.85028,0.9101,0.72971,0.81898,0.6316,0.96403,0.53466,0.82881,0.0004456,0.0004456,0.0004456
30,1133.85,1.02941,0.55066,0.84689,0.91306,0.73351,0.81731,0.64023,0.9406,0.52705,0.82952,0.0004258,0.0004258,0.0004258
31,1171.13,1.00537,0.5407,0.84411,0.91118,0.72955,0.82309,0.62839,0.96844,0.53103,0.82754,0.000406,0.000406,0.000406
32,1208.52,1.02411,0.54649,0.84773,0.91144,0.72995,0.81837,0.629,1.01716,0.53999,0.83412,0.0003862,0.0003862,0.0003862
33,1246.28,1.02511,0.54528,0.84712,0.91505,0.73047,0.82226,0.64722,0.8927,0.51177,0.82606,0.0003664,0.0003664,0.0003664
34,1282.51,0.99201,0.53682,0.84375,0.93502,0.72284,0.82353,0.6345,1.05028,0.5383,0.83017,0.0003466,0.0003466,0.0003466
35,1319.65,1.03019,0.54264,0.84497,0.9439,0.72631,0.82703,0.65132,0.91827,0.5094,0.82587,0.0003268,0.0003268,0.0003268
36,1356.38,0.97041,0.53361,0.84498,0.91344,0.73325,0.82148,0.63265,0.98566,0.52722,0.82971,0.000307,0.000307,0.000307
37,1392.21,0.97198,0.52606,0.83786,0.91326,0.73115,0.8182,0.62771,0.97915,0.53972,0.82967,0.0002872,0.0002872,0.0002872
38,1426.82,0.96854,0.52274,0.84045,0.91542,0.73282,0.8227,0.64041,0.94059,0.51899,0.82833,0.0002674,0.0002674,0.0002674
39,1463.3,0.94975,0.5269,0.84097,0.94769,0.72758,0.82474,0.65458,0.86688,0.50509,0.82371,0.0002476,0.0002476,0.0002476
40,1501.09,0.951,0.51925,0.84022,0.94567,0.72955,0.82498,0.63247,0.99646,0.51507,0.82798,0.0002278,0.0002278,0.0002278
